M_calibrated_K=MAG_APER_K+26.2715655±0.0033601851,M_calibrated_err_K,M_calibrated_J=MAG_APER_J+27.757166±0.0110146804,M_calibrated_err_J,M_calibrated_H=MAG_APER_H+27.384571±0.0790101107,M_calibrated_err_H,NUMBER_K,X_WORLD_K,Y_WORLD_K,X_IMAGE_K,Y_IMAGE_K,MAG_ISO_K,MAGERR_ISO_K,MAG_ISOCOR_K,MAGERR_ISOCOR_K,MAG_APER_K,MAGERR_APER_K,MAG_AUTO_K,MAGERR_AUTO_K,MAG_BEST_K,MAGERR_BEST_K,ISOAREA_IMAGE_K,THETA_IMAGE_K,ELONGATION_K,CLASS_STAR_K,NUMBER_J,X_WORLD_J,Y_WORLD_J,X_IMAGE_J,Y_IMAGE_J,MAG_ISO_J,MAGERR_ISO_J,MAG_ISOCOR_J,MAGERR_ISOCOR_J,MAG_APER_J,MAGERR_APER_J,MAG_AUTO_J,MAGERR_AUTO_J,MAG_BEST_J,MAGERR_BEST_J,ISOAREA_IMAGE_J,THETA_IMAGE_J,ELONGATION_J,CLASS_STAR_J,NUMBER_H,X_WORLD_H,Y_WORLD_H,X_IMAGE_H,Y_IMAGE_H,MAG_ISO_H,MAGERR_ISO_H,MAG_ISOCOR_H,MAGERR_ISOCOR_H,MAG_APER_H,MAGERR_APER_H,MAG_AUTO_H,MAGERR_AUTO_H,MAG_BEST_H,MAGERR_BEST_H,ISOAREA_IMAGE_H,THETA_IMAGE_H,ELONGATION_H,CLASS_STAR_H
20.1599995,0.2083435985,20.573954,0.0842209141,19.192583,0.1312835138,21,204.2547046132,32.109074177,701.1961,17.345247,-4.9542055,0.121986195,-5.305721,0.12159928,-6.111566,0.2083165,-5.201604,0.1517586,-5.201604,0.1517586,18,9.917467,1.273886,0.58410686,21,204.2546763838,32.1090877095,701.1961,17.345247,-4.333542,0.2164943,-5.7810225,0.120742284,-7.183212,0.08349754,-4.9140425,0.20564689,-4.9140425,0.20564689,10,9.917467,1.273886,0.6119081,21,204.2546929865,32.1090759134,701.1961,17.345247,-6.098878,0.13419944,-6.1607585,0.12816949,-8.191988,0.10484638,-6.8613243,0.10938881,-6.8613243,0.10938881,16,9.917467,1.273886,0.6724237
125.2715655,99.000000057,126.757166,99.0000006127,126.384571,99.0000315283,22,204.2266329139,32.1088038127,1040.2433,12.351243,-6.174518,0.060836412,-6.3601513,0.061393704,99,99,-5.5869856,0.15175767,-6.3601513,0.061393704,31,47.076942,1.9171106,0.9541756,22,204.2266098512,32.108812202,1040.2433,12.351243,99,99,99,99,99,99,99,99,99,99,19,47.076942,1.9171106,0.73127586,22,204.2266170405,32.1087997254,1040.2433,12.351243,99,99,99,99,99,99,99,99,99,99,17,47.076942,1.9171106,0.7570092
20.4189978,0.2617050726,25.294224,6.2202797522,18.499279,0.0964289686,23,204.2667606973,32.1088270122,555.56604,14.336965,-4.668451,0.15487118,-5.2797804,0.14361304,-5.8525677,0.2616835,-5.8702044,0.17185484,-5.8702044,0.17185484,18,-32.10703,1.5848017,0.48905742,23,204.2667303433,32.10884282,555.56604,14.336965,99,99,99,99,-2.462942,6.22027,99,99,99,99,2,-32.10703,1.5848017,0.35829362,23,204.2667509994,32.1088311934,555.56604,14.336965,-5.761384,0.18166381,-5.85961,0.16926384,-8.885292,0.055280633,-8.2203,0.06742396,-8.2203,0.06742396,13,-32.10703,1.5848017,0.56231844
18.2566825,0.0345115343,19.58417,0.0333572517,18.484352,0.092889972,24,204.2740325762,32.1083276361,467.70752,7.535326,-7.902103,0.025532883,-8.03418,0.025711883,-8.014883,0.034347564,-7.975137,0.029790584,-7.975137,0.029790584,165,-20.4669,1.3287567,0.03090547,24,204.2740010312,32.1083448801,467.70752,7.535326,-7.904469,0.026503406,-8.036081,0.026483754,-8.172996,0.031486236,-8.179692,0.02631733,-8.179692,0.02631733,143,-20.4669,1.3287567,0.027913617,24,204.2740241425,32.108333238,467.70752,7.535326,-8.5196085,0.042591266,-8.575605,0.04084922,-8.900219,0.04884618,-8.760493,0.045069367,-8.760493,0.045069367,110,-20.4669,1.3287567,0.25449845
125.2715655,99.000000057,126.757166,99.0000006127,19.86675,0.1749703549,25,204.2242742356,32.1086835163,1068.7268,10.544214,-5.485974,0.0817711,-5.6539345,0.08248705,99,99,99,99,-5.6539345,0.08248705,19,80.58851,2.0823333,0.7438372,25,204.2242516323,32.1086914912,1068.7268,10.544214,99,99,99,99,99,99,99,99,99,99,0,80.58851,2.0823333,0.019272702,25,204.2242580335,32.1086789245,1068.7268,10.544214,-4.0481167,0.899548,-7.2437344,0.09535129,-7.517821,0.15611543,-5.431244,0.47336957,-7.2437344,0.09535129,0,80.58851,2.0823333,0.32668114
19.9573435,0.1733441908,126.757166,99.0000006127,19.4929084,0.1590567682,26,204.2293562706,32.1094211503,1007.3782,21.260786,-5.064884,0.1312218,-5.73661,0.118759446,-6.314222,0.17331162,-5.5023427,0.14928396,-5.73661,0.118759446,16,20.772938,2.2873657,0.52838683,26,204.2293325542,32.1094299311,1007.3782,21.260786,-1.3146534,4.033109,-4.510271,0.41918942,99,99,99,99,-4.510271,0.41918942,9,20.772938,2.2873657,0.6065719,26,204.2293406394,32.109417719,1007.3782,21.260786,-5.457082,0.29144,-5.7716265,0.24247368,-7.8916626,0.13804513,-6.8226023,0.14751881,-5.7716265,0.24247368,12,20.772938,2.2873657,0.7225287
21.0632675,0.4540212844,21.3072983,0.1550361488,18.962102,0.1132588965,27,204.2418819644,32.1086884213,856.0539,11.31345,-6.3554864,0.06648057,-6.781063,0.06530901,-5.208298,0.45400885,-5.9103203,0.19482611,-5.9103203,0.19482611,29,-12.304205,3.2396674,0.77950585,27,204.2418561625,32.108699652,856.0539,11.31345,-5.0306673,0.22252321,-8.226285,0.025150206,-6.4498677,0.15464438,-5.027929,0.4597011,-5.027929,0.4597011,22,-12.304205,3.2396674,0.539305,27,204.241868473,32.1086874572,856.0539,11.31345,-6.6874456,0.15341204,-6.9249196,0.13225517,-8.422469,0.08114789,-7.1657734,0.20812798,-7.1657734,0.20812798,17,-12.304205,3.2396674,0.73874974
22.3291157,1.4555982784,22.040824,0.3026466035,18.892739,0.1099190394,28,204.2846089065,32.1085738716,339.97534,11.521359,-4.1785336,0.16374873,-4.4380226,0.1649417,-3.9424498,1.4555944,-4.640531,0.19791278,-4.640531,0.19791278,9,-62.883976,1.613706,0.5068417,28,204.2845753787,32.1085930276,339.97534,11.521359,99,99,99,99,-5.716342,0.3024461,99,99,99,99,0,-62.883976,1.613706,0.019272702,28,204.2846020324,32.1085816893,339.97534,11.521359,-4.182364,0.4971649,-4.4401894,0.4244556,-8.491832,0.07641726,-5.9869747,0.18942015,-5.9869747,0.18942015,3,-62.883976,1.613706,0.59757507
19.7694585,0.1230981237,126.757166,99.0000006127,18.371147,0.0893458033,29,204.3094390475,32.1080574642,40.03788,5.3217034,-5.9038563,0.08323306,-6.367464,0.080994256,-6.502107,0.123052254,-6.607941,0.11561421,-6.607941,0.11561421,24,-70.4568,1.6700511,0.64594835,29,204.3094011481,32.1080813088,40.03788,5.3217034,-4.689547,0.25990373,-7.8851647,0.029526021,99,99,99,99,99,99,12,-70.4568,1.6700511,0.7156788,29,204.3094361504,32.1080703151,40.03788,5.3217034,-5.5278673,0.36764818,-6.6079564,0.20980294,-9.013424,0.041714206,-9.333443,0.03232403,-9.333443,0.03232403,4,-70.4568,1.6700511,0.64607996
125.2715655,99.000000057,126.757166,99.0000006127,18.873494,0.1055940617,30,204.2646852149,32.108379303,580.6116,7.862838,-4.463601,0.14776063,-4.76113,0.14835629,99,99,-5.3641806,0.18689692,-5.3641806,0.18689692,12,-65.45786,3.0900218,0.5642454,30,204.264655353,32.1083948082,580.6116,7.862838,-3.7138267,0.29207876,-5.3529115,0.1413762,99,99,99,99,99,99,8,-65.45786,3.0900218,0.642411,30,204.2646753257,32.1083829879,580.6116,7.862838,99,99,99,99,-8.511077,0.07005361,-7.0448203,0.13414375,-7.0448203,0.13414375,5,-65.45786,3.0900218,0.54681855
