J-Ks,J-Ks_err,H-Ks,H-Ks_err,J-H,J-H_err,M_calibrated_K=MAG_APER_K+26.445934±0.0033441332,M_calibrated_err_K,M_calibrated_J=MAG_APER_J+27.93667±0.0224088083,M_calibrated_err_J,M_calibrated_H,M_calibrated_err_H,NUMBER_K,X_WORLD_K,Y_WORLD_K,X_IMAGE_K,Y_IMAGE_K,MAG_ISO_K,MAGERR_ISO_K,MAG_ISOCOR_K,MAGERR_ISOCOR_K,MAG_APER_K,MAGERR_APER_K,MAG_AUTO_K,MAGERR_AUTO_K,MAG_BEST_K,MAGERR_BEST_K,ISOAREA_IMAGE_K,THETA_IMAGE_K,ELONGATION_K,CLASS_STAR_K,NUMBER_J,X_WORLD_J,Y_WORLD_J,X_IMAGE_J,Y_IMAGE_J,MAG_ISO_J,MAGERR_ISO_J,MAG_ISOCOR_J,MAGERR_ISOCOR_J,MAG_APER_J,MAGERR_APER_J,MAG_AUTO_J,MAGERR_AUTO_J,MAG_BEST_J,MAGERR_BEST_J,ISOAREA_IMAGE_J,THETA_IMAGE_J,ELONGATION_J,CLASS_STAR_J,NUMBER_H,X_WORLD_H,Y_WORLD_H,X_IMAGE_H,Y_IMAGE_H,MAG_ISO_H,MAGERR_ISO_H,MAG_ISOCOR_H,MAGERR_ISOCOR_H,MAG_APER_H,MAGERR_APER_H,MAG_AUTO_H,MAGERR_AUTO_H,MAG_BEST_H,MAGERR_BEST_H,ISOAREA_IMAGE_H,THETA_IMAGE_H,ELONGATION_H,CLASS_STAR_H
1.5586138,0.5308225104,,,,,20.6363727,0.329994745,22.1949865,0.4157836046,,,21,158.2628780785,59.1142574986,478.3773,10.0163965,-7.5058045,0.039457336,-7.7748203,0.04007049,-5.8095613,0.3299778,-6.945774,0.102763444,-7.7748203,0.04007049,106,50.43026,2.2793453,0.17414775,21,158.2628956791,59.1142161113,478.3773,10.0163965,-4.347198,0.7757497,-7.5428157,0.08091506,-5.7416835,0.4151793,-4.8645377,0.8102533,-7.5428157,0.08091506,36,50.43026,2.2793453,0.002724074,,,,,,,,,,,,,,,,,,,
-104.1774926,99.0001776071,,,,,125.445934,99.0000000565,21.2684414,0.1874968084,,,22,158.2668651896,59.1144605214,449.11758,12.950182,-6.657552,0.061188623,-6.993019,0.061688516,99,99,-6.4667215,0.118089624,-6.993019,0.061688516,51,27.186096,1.5321617,0.9251732,22,158.2668850557,59.1144199471,449.11758,12.950182,-0.13490036,26.827843,-3.330518,2.786343,-6.6682286,0.18615289,-4.125668,1.1775051,-3.330518,2.786343,17,27.186096,1.5321617,0.5462807,,,,,,,,,,,,,,,,,,,
-1.592946,1.1115695028,,,,,21.9485976,1.108580144,20.3556516,0.081466705,,,23,158.2685881433,59.1142831041,436.46945,10.427492,-7.592506,0.035387192,-7.7902093,0.036019623,-4.4973364,1.1085751,-7.3662796,0.063151106,-7.7902093,0.036019623,102,40.901413,1.5573223,0.873745,23,158.2686091628,59.1142427213,436.46945,10.427492,-6.48688,0.10632028,-9.409946,0.017160935,-7.5810184,0.07832413,-7.32283,0.07682177,-9.409946,0.017160935,71,40.901413,1.5573223,0.34466082,,,,,,,,,,,,,,,,,,,
1.490736,140.0071445082,,,,,125.445934,99.0000000565,126.93667,99.0000025361,,,24,158.1982069289,59.1146303438,953.0229,15.087738,-6.9697566,0.042957105,-7.1013217,0.043590166,99,99,-6.7972035,0.06876015,-6.7972035,0.06876015,44,52.466064,1.1216406,0.9745591,24,158.1981853902,59.1145779679,953.0229,15.087738,99,99,99,99,99,99,99,99,99,99,0,52.466064,1.1216406,0.019272702,,,,,,,,,,,,,,,,,,,
3.344698,0.8031958523,,,,,19.483389,0.1232093614,22.828087,0.7936895051,,,25,158.2603481915,59.114610378,496.95004,15.042941,-7.380825,0.042837683,-7.6818194,0.043377243,-6.962545,0.12316397,-7.1477656,0.10607795,-7.6818194,0.043377243,103,5.4881644,1.5443037,0.38770103,25,158.2603640378,59.1145687652,496.95004,15.042941,-2.0669878,6.14081,-5.2626057,0.63782716,-5.108583,0.7933731,-5.4498873,0.590879,-5.2626057,0.63782716,21,5.4881644,1.5443037,0.44965482,,,,,,,,,,,,,,,,,,,
-102.2969256,99.0032483797,,,,,125.445934,99.0000000565,23.1490084,0.8019841313,,,26,158.2603971254,59.1136968869,496.5779,1.9825479,-6.0481052,0.063031934,-6.158108,0.06383142,99,99,-6.1163445,0.08161746,-6.158108,0.06383142,16,27.237316,2.209877,0.8912285,26,158.260413602,59.1136547317,496.5779,1.9825479,-2.3884866,1.848781,-5.5841045,0.19295715,-4.7876616,0.801671,-3.2427385,1.2571297,-5.5841045,0.19295715,5,27.237316,2.209877,0.37299323,,,,,,,,,,,,,,,,,,,
0.61241,0.2015390954,,,,,20.007887,0.1768731465,20.620297,0.0966120955,,,27,158.25809047,59.1140908855,513.513,7.5992584,-7.819117,0.031299457,-8.001427,0.03185005,-6.438047,0.17684153,-6.883224,0.10178258,-8.001427,0.03185005,122,-29.253942,1.2748842,0.16649733,27,158.2581052997,59.1140485682,513.513,7.5992584,-6.9952044,0.073025115,-7.8446155,0.057583325,-7.316373,0.09397735,-7.2273226,0.08776549,-7.8446155,0.057583325,111,-29.253942,1.2748842,0.009888385,,,,,,,,,,,,,,,,,,,
-103.842915,99.0001991338,,,,,125.445934,99.0000000565,21.603019,0.1985380345,,,28,158.2585525086,59.1137223776,510.11682,2.3337371,-5.905601,0.055975433,-5.9537363,0.05624433,99,99,-6.36603,0.051660363,-5.9537363,0.05624433,10,-53.954254,1.4208019,0.7189838,28,158.2585678586,59.1136799182,510.11682,2.3337371,-4.889592,0.14197268,-5.0933843,0.13941006,-6.333651,0.19726935,-5.458171,0.1249429,-5.0933843,0.13941006,12,-53.954254,1.4208019,0.5311232,,,,,,,,,,,,,,,,,,,
106.0834865,99.0007609822,,,,,20.8531835,0.3875214794,126.93667,99.0000025361,,,29,158.2919815688,59.1141088982,264.7731,8.15854,-7.5391955,0.036400132,-7.7401333,0.037051518,-5.5927505,0.38750705,-5.7079954,0.34026217,-7.7401333,0.037051518,94,-70.279945,1.4378858,0.8286917,29,158.2920167814,59.1140724613,264.7731,8.15854,-4.5446115,0.6062615,-7.740229,0.06347081,99,99,99,99,-7.740229,0.06347081,31,-70.279945,1.4378858,0.6369045,,,,,,,,,,,,,,,,,,,
106.172695,99.000555441,,,,,20.763975,0.3308707801,126.93667,99.0000025361,,,30,158.3075946611,59.1138844677,150.17706,5.1312113,-7.7828856,0.03168053,-7.9615574,0.03223444,-5.681959,0.33085388,-6.365004,0.17321986,-7.9615574,0.03223444,104,-11.359995,2.0813122,0.87418765,30,158.3076394198,59.1138505976,150.17706,5.1312113,99,99,99,99,99,99,99,99,99,99,22,-11.359995,2.0813122,0.50326097,,,,,,,,,,,,,,,,,,,
