M_calibrated_K=MAG_APER_K+26.2715655±0.0033601851,M_calibrated_err_K,M_calibrated_J=MAG_APER_J+27.93667±0.0224088083,M_calibrated_err_J,M_calibrated_H=MAG_APER_H+27.467062±0.0230624783,M_calibrated_err_H,NUMBER_K,X_WORLD_K,Y_WORLD_K,X_IMAGE_K,Y_IMAGE_K,MAG_ISO_K,MAGERR_ISO_K,MAG_ISOCOR_K,MAGERR_ISOCOR_K,MAG_APER_K,MAGERR_APER_K,MAG_AUTO_K,MAGERR_AUTO_K,MAG_BEST_K,MAGERR_BEST_K,ISOAREA_IMAGE_K,THETA_IMAGE_K,ELONGATION_K,CLASS_STAR_K,NUMBER_J,X_WORLD_J,Y_WORLD_J,X_IMAGE_J,Y_IMAGE_J,MAG_ISO_J,MAGERR_ISO_J,MAG_ISOCOR_J,MAGERR_ISOCOR_J,MAG_APER_J,MAGERR_APER_J,MAG_AUTO_J,MAGERR_AUTO_J,MAG_BEST_J,MAGERR_BEST_J,ISOAREA_IMAGE_J,THETA_IMAGE_J,ELONGATION_J,CLASS_STAR_J,NUMBER_H,X_WORLD_H,Y_WORLD_H,X_IMAGE_H,Y_IMAGE_H,MAG_ISO_H,MAGERR_ISO_H,MAG_ISOCOR_H,MAGERR_ISOCOR_H,MAG_APER_H,MAGERR_APER_H,MAG_AUTO_H,MAGERR_AUTO_H,MAG_BEST_H,MAGERR_BEST_H,ISOAREA_IMAGE_H,THETA_IMAGE_H,ELONGATION_H,CLASS_STAR_H
125.2715655,99.000000057,20.066167,0.0610410591,19.5196915,0.1136658439,21,218.6072694156,35.5142962014,45.959843,31.995907,-6.989421,0.041593865,-7.1442313,0.04206648,99,99,-6.2871428,0.10163946,-7.1442313,0.04206648,54,-67.71833,1.4684999,0.9797634,21,218.6071616306,35.5143602513,45.959843,31.995907,-7.171138,0.041885875,-7.289163,0.04119957,-7.870503,0.056779012,-7.5727897,0.040063217,-7.289163,0.04119957,59,-67.71833,1.4684999,0.721636,21,218.6071592169,35.5143517298,45.959843,31.995907,-7.3854294,0.067703284,-7.4723873,0.06398017,-7.9473705,0.1113016,-7.62767,0.07656104,-7.4723873,0.06398017,47,-67.71833,1.4684999,0.91389334
17.6421305,0.0247009382,19.519678,0.0415955486,18.964357,0.0709357598,22,218.5474223071,35.5135799763,742.2676,21.429197,-8.814342,0.017466074,-8.951039,0.017645778,-8.629435,0.02447132,-8.552913,0.03188348,-8.951039,0.017645778,317,35.122375,1.9139202,0.027691638,22,218.5474265803,35.5136416086,742.2676,21.429197,-8.345047,0.03019666,-8.634325,0.028933762,-8.416992,0.03504333,-8.31712,0.047348265,-8.634325,0.028933762,223,35.122375,1.9139202,0.02127099,22,218.5474309743,35.5136051208,742.2676,21.429197,-8.439568,0.056241646,-8.686126,0.049004156,-8.502705,0.06708207,-8.482573,0.08570295,-8.686126,0.049004156,165,35.122375,1.9139202,0.018285993
18.1838385,0.0390503065,20.0247676,0.0591354527,19.118331,0.0805502526,23,218.5659881357,35.5138974451,526.25745,26.023943,-8.086051,0.025500676,-8.252409,0.025803516,-8.087727,0.03890547,-8.104284,0.03952521,-8.252409,0.025803516,171,-38.28099,1.8240225,0.32699305,23,218.5659576348,35.5139596432,526.25745,26.023943,-7.6427298,0.043485206,-7.9893966,0.041149978,-7.9119024,0.054725196,-7.757843,0.06483035,-7.9893966,0.041149978,136,-38.28099,1.8240225,0.019017275,23,218.5659598478,35.5139318208,526.25745,26.023943,-7.8928704,0.07068528,-8.119001,0.06215191,-8.348731,0.07717814,-8.145741,0.096014015,-8.119001,0.06215191,99,-38.28099,1.8240225,0.16194251
125.2715655,99.000000057,126.93667,99.0000025361,21.97995,0.8045236225,24,218.5667783315,35.5122272358,517.05493,2.1534739,-6.133363,0.052246343,-6.205252,0.05247048,99,99,-6.3951926,0.052317977,-6.205252,0.05247048,14,5.350093,1.2275486,0.8845288,24,218.56674651,35.51229261,517.05493,2.1534739,99,99,99,99,99,99,99,99,99,99,1,5.350093,1.2275486,0.35274833,24,218.5667498208,35.5122653332,517.05493,2.1534739,99,99,99,99,-5.487112,0.804193,99,99,99,99,2,5.350093,1.2275486,0.3515072
125.2715655,99.000000057,23.4458453,1.0299162131,126.467062,99.0000026863,25,218.5653885221,35.5124397156,533.22656,5.1848416,-6.499116,0.054934684,-6.695807,0.055624094,99,99,-5.947596,0.12798357,-6.695807,0.055624094,42,44.12677,4.606542,0.96895266,25,218.5653592813,35.512504605,533.22656,5.1848416,-4.860213,0.27112725,-8.05583,0.030595351,-4.4908247,1.0296724,-5.126879,0.3256365,-8.05583,0.030595351,22,44.12677,4.606542,0.54577553,25,218.5653625882,35.5124766547,533.22656,5.1848416,99,99,99,99,99,99,99,99,99,99,6,44.12677,4.606542,0.35377428
19.6738345,0.1183075228,126.93667,99.0000025361,126.467062,99.0000026863,26,218.5645932395,35.5123436114,542.47925,3.8079245,-7.064736,0.035261754,-7.149775,0.035462797,-6.597731,0.118259795,-7.063115,0.046100073,-7.149775,0.035462797,44,11.153324,1.3145667,0.9782373,26,218.564565496,35.5124086309,542.47925,3.8079245,99,99,99,99,99,99,99,99,99,99,9,11.153324,1.3145667,0.36144426,26,218.5645689546,35.5123803181,542.47925,3.8079245,-4.7780514,0.6196716,-7.973669,0.06546132,99,99,-5.129689,0.6471126,-7.973669,0.06546132,16,11.153324,1.3145667,0.5891005
125.2715655,99.000000057,22.0424897,0.3105839789,21.0180163,0.4000753154,27,218.5663563815,35.512682192,521.96674,8.654784,-6.93714,0.04694436,-7.1786523,0.047493074,99,99,-6.7171125,0.08652131,-7.1786523,0.047493074,67,-51.007317,1.9896821,0.9773372,27,218.5663253066,35.5127466881,521.96674,8.654784,99,99,99,99,-5.8941803,0.30977452,-4.6857142,0.66392344,99,99,17,-51.007317,1.9896821,0.48951012,27,218.5663283401,35.5127191658,521.96674,8.654784,99,99,99,99,-6.4490457,0.39941004,-5.6946445,0.5647633,99,99,22,-51.007317,1.9896821,0.5100412
19.6130767,0.138987994,20.4284617,0.0816634128,19.9287696,0.1634506288,28,218.5563198322,35.5133639688,638.7449,18.363794,-7.3204226,0.037266575,-7.508459,0.037730884,-6.6584888,0.13894737,-6.818526,0.08913452,-7.508459,0.037730884,100,73.054565,1.2925215,0.12830031,28,218.5563074747,35.5134265607,638.7449,18.363794,-7.0989585,0.052754,-7.369007,0.050735563,-7.5082083,0.07852871,-7.528157,0.05743349,-7.369007,0.050735563,92,73.054565,1.2925215,0.06324625,28,218.5563110836,35.5133942644,638.7449,18.363794,-7.3217025,0.08736774,-7.5093594,0.07821094,-7.5382924,0.16181542,-7.8342776,0.09056335,-7.5093594,0.07821094,71,73.054565,1.2925215,0.0122955935
19.2174265,0.0972779812,21.2180764,0.1620683129,19.5645976,0.1182324378,29,218.56735596,35.5135842827,510.34137,21.55343,-7.3134193,0.035255294,-7.4572525,0.035634283,-7.054139,0.09721993,-7.1807933,0.05219678,-7.4572525,0.035634283,79,-42.415707,1.0885831,0.67853874,29,218.5673229291,35.5136471527,510.34137,21.55343,-6.5902405,0.07598939,-7.0800085,0.06908624,-6.7185936,0.16051163,-6.793362,0.08787841,-7.0800085,0.06908624,67,-42.415707,1.0885831,0.08772499,29,218.5673252194,35.513620004,510.34137,21.55343,-6.936775,0.11415339,-7.198529,0.0988082,-7.9024644,0.115961336,-7.286646,0.11748733,-7.198529,0.0988082,47,-42.415707,1.0885831,0.1425181
125.2715655,99.000000057,21.8105738,0.276471067,21.045662,0.4515590496,30,218.5920012869,35.5133878118,223.59349,18.88739,-6.361296,0.062880404,-6.635317,0.06348805,99,99,-5.2319164,0.2828398,-6.635317,0.06348805,47,-21.483421,2.3411493,0.96781445,30,218.5919221573,35.5134525982,223.59349,18.88739,-5.120503,0.22069354,-8.316121,0.025697028,-6.1260962,0.27556142,-5.586189,0.25011942,-8.316121,0.025697028,24,-21.483421,2.3411493,0.6210323,30,218.5919219919,35.5134370178,223.59349,18.88739,99,99,99,99,-6.4214,0.45096973,-2.7403562,7.3237987,99,99,10,-21.483421,2.3411493,0.35919663
125.2715655,99.000000057,21.1916525,0.1582877269,20.0548058,0.1830882259,31,218.6083966733,35.5133436548,32.83369,18.390564,-7.0489597,0.036724407,-7.148236,0.036987,99,99,-5.699227,0.16197853,-7.148236,0.036987,35,-14.500486,2.627069,0.9649445,31,218.6082868702,35.5134095592,32.83369,18.390564,-6.4070234,0.0723663,-6.6741014,0.06963546,-6.7450175,0.15669349,-6.896574,0.067891344,-6.6741014,0.06963546,38,-14.500486,2.627069,0.7964509,31,218.6082850117,35.5134016659,32.83369,18.390564,-6.443422,0.14172791,-6.694659,0.12323685,-7.4122562,0.1816299,-6.9469447,0.13373347,-6.694659,0.12323685,28,-14.500486,2.627069,0.7622502
19.761355,0.1590505585,126.93667,99.0000025361,126.467062,99.0000026863,32,218.5598835266,35.5136524192,597.2827,22.498379,-5.439953,0.097416006,-5.7318826,0.098200426,-6.5102105,0.15901506,-5.9325743,0.20964786,-5.9325743,0.20964786,22,-44.548824,3.3510447,0.86535656,32,218.5598644729,35.5137146939,597.2827,22.498379,99,99,99,99,99,99,99,99,99,99,2,-44.548824,3.3510447,0.3645126,32,218.5598675022,35.513684037,597.2827,22.498379,99,99,99,99,99,99,99,99,99,99,2,-44.548824,3.3510447,0.3507882
19.9770098,0.1934710319,126.93667,99.0000025361,126.467062,99.0000026863,33,218.5603281115,35.5131902822,592.10803,15.894183,-6.230724,0.0739819,-6.680495,0.072494715,-6.2945557,0.19344185,-6.2255106,0.16254109,-6.680495,0.072494715,48,1.0806848,1.5492058,0.9513772,33,218.5603082694,35.5132534499,592.10803,15.894183,99,99,99,99,99,99,99,99,99,99,4,1.0806848,1.5492058,0.35987028,33,218.5603115788,35.5132230498,592.10803,15.894183,99,99,99,99,99,99,99,99,99,99,7,1.0806848,1.5492058,0.43976635
125.2715655,99.000000057,126.93667,99.0000025361,126.467062,99.0000026863,34,218.5610105887,35.512389379,584.16394,4.4485683,-6.9467006,0.03759513,-7.0356765,0.037824918,99,99,-0.8807321,13.135564,-7.0356765,0.037824918,41,-49.375908,1.7069347,0.9760674,34,218.5609895451,35.5124540886,584.16394,4.4485683,99,99,99,99,99,99,99,99,99,99,3,-49.375908,1.7069347,0.40714562,34,218.5609933489,35.5124240924,584.16394,4.4485683,99,99,99,99,99,99,99,99,99,99,7,-49.375908,1.7069347,0.37143943
125.2715655,99.000000057,126.93667,99.0000025361,126.467062,99.0000026863,35,218.5604694989,35.5126756953,590.4608,8.5392275,-5.534345,0.06972754,-5.6107044,0.07006048,99,99,-5.6861243,0.09223385,-5.6107044,0.07006048,10,-33.700764,2.2007473,0.6690118,35,218.5604494409,35.5127398351,590.4608,8.5392275,-2.071044,1.6612928,-5.2666616,0.17435646,99,99,-0.57141054,11.367935,-5.2666616,0.17435646,4,-33.700764,2.2007473,0.36557764,35,218.5604530992,35.5127095553,590.4608,8.5392275,99,99,99,99,99,99,99,99,99,99,0,-33.700764,2.2007473,0.3471523
20.5379395,0.2557569343,126.93667,99.0000025361,126.467062,99.0000026863,36,218.5598131258,35.5123195215,598.0962,3.4458416,-7.3121324,0.03303291,-7.418635,0.033291895,-5.733626,0.25573486,-7.065707,0.05611269,-7.418635,0.033291895,65,-37.94653,1.7904196,0.9813422,36,218.5597943297,35.5123842871,598.0962,3.4458416,99,99,99,99,99,99,99,99,99,99,7,-37.94653,1.7904196,0.3498579,36,218.559798309,35.5123537371,598.0962,3.4458416,99,99,99,99,99,99,99,99,99,99,18,-37.94653,1.7904196,0.63866657
