J-Ks,J-Ks_err,H-Ks,H-Ks_err,J-H,J-H_err,M_calibrated_K=MAG_APER_K+26.445934±0.0033441332,M_calibrated_err_K,M_calibrated_J=MAG_APER_J+27.93667±0.0224088083,M_calibrated_err_J,M_calibrated_H=MAG_APER_H+27.467062±0.0230624783,M_calibrated_err_H,NUMBER_K,X_WORLD_K,Y_WORLD_K,X_IMAGE_K,Y_IMAGE_K,MAG_ISO_K,MAGERR_ISO_K,MAG_ISOCOR_K,MAGERR_ISOCOR_K,MAG_APER_K,MAGERR_APER_K,MAG_AUTO_K,MAGERR_AUTO_K,MAG_BEST_K,MAGERR_BEST_K,ISOAREA_IMAGE_K,THETA_IMAGE_K,ELONGATION_K,CLASS_STAR_K,NUMBER_J,X_WORLD_J,Y_WORLD_J,X_IMAGE_J,Y_IMAGE_J,MAG_ISO_J,MAGERR_ISO_J,MAG_ISOCOR_J,MAGERR_ISOCOR_J,MAG_APER_J,MAGERR_APER_J,MAG_AUTO_J,MAGERR_AUTO_J,MAG_BEST_J,MAGERR_BEST_J,ISOAREA_IMAGE_J,THETA_IMAGE_J,ELONGATION_J,CLASS_STAR_J,NUMBER_H,X_WORLD_H,Y_WORLD_H,X_IMAGE_H,Y_IMAGE_H,MAG_ISO_H,MAGERR_ISO_H,MAG_ISOCOR_H,MAGERR_ISOCOR_H,MAG_APER_H,MAGERR_APER_H,MAG_AUTO_H,MAGERR_AUTO_H,MAG_BEST_H,MAGERR_BEST_H,ISOAREA_IMAGE_H,THETA_IMAGE_H,ELONGATION_H,CLASS_STAR_H
-0.22682,0.2340694667,-1.1764786,0.2235506484,0.9496586,0.1107323469,20.4552996,0.2150601718,20.2284796,0.0923993385,19.278821,0.0610247073,21,200.8223449341,33.3412764266,331.0846,18.365196,-6.44491,0.056559455,-6.7188315,0.056737483,-5.9906344,0.21503417,-6.3595243,0.08901028,-6.3595243,0.08901028,57,14.114529,1.6345663,0.90579396,21,200.8223598943,33.341240595,331.0846,18.365196,-5.6979237,0.20238999,-7.0678573,0.101154305,-7.7081904,0.089640856,-6.6714516,0.13016029,-6.6714516,0.13016029,33,14.114529,1.6345663,0.7113189,21,200.8223498426,33.3412268954,331.0846,18.365196,99,99,99,99,-8.188241,0.056499,-6.860404,0.106741115,-6.860404,0.106741115,34,14.114529,1.6345663,0.9367117
-0.1800768,0.2008404989,-1.770558,0.1866649395,1.5904812,0.0905291113,20.461202,0.1830098162,20.2811252,0.0827303643,18.690644,0.0367587652,22,200.8317490954,33.3403852841,218.65184,5.5801387,-6.577416,0.049588256,-6.7722616,0.04990113,-5.984732,0.18297926,-6.6324763,0.060989324,-6.6324763,0.060989324,66,81.69675,1.4166168,0.90991026,22,200.8317651933,33.3403476788,218.65184,5.5801387,-6.5267043,0.09312321,-6.7380414,0.08419599,-7.6555448,0.07963767,-7.0474687,0.07927997,-7.0474687,0.07927997,44,81.69675,1.4166168,0.9561938,22,200.8317571166,33.3403328608,218.65184,5.5801387,-7.746119,0.03206803,-7.784487,0.031425025,-8.776418,0.028623922,-7.8928585,0.036955517,-7.8928585,0.036955517,64,81.69675,1.4166168,0.7296066
-105.1224027,99.0000385681,-106.450983,99.0000100648,1.3285803,0.0980150051,125.445934,99.0000000565,20.3235313,0.0873229366,18.994951,0.0445156823,23,200.8310948756,33.3404388983,226.47356,6.3492994,-4.999491,0.113883026,-5.3236136,0.11362776,99,99,-5.3188047,0.13429259,-5.3236136,0.11362776,19,48.293137,1.3863078,0.5574461,23,200.8311108923,33.3404014151,226.47356,6.3492994,-5.907585,0.09473672,-5.98764,0.0907441,-7.6131387,0.0843987,-6.664363,0.077916734,-5.98764,0.0907441,20,48.293137,1.3863078,0.73840505,23,200.8311026771,33.3403866731,226.47356,6.3492994,-6.4054303,0.060909588,-6.4471483,0.059580345,-8.472111,0.03807582,-6.6919775,0.074112244,-6.4471483,0.059580345,19,48.293137,1.3863078,0.87956434
105.5269446,99.0011558278,105.0573366,99.0011559779,0.469608,140.0071463677,21.4097254,0.4778630314,126.93667,99.0000025361,126.467062,99.0000026863,24,200.7677335483,33.3406497521,984.0235,9.780021,-4.866962,0.12502341,-5.247955,0.12360111,-5.0362086,0.47785133,-5.3161764,0.14007847,-5.3161764,0.14007847,16,61.4162,1.3085524,0.5811845,24,200.7677404472,33.3406233771,984.0235,9.780021,99,99,99,99,99,99,99,99,99,99,9,61.4162,1.3085524,0.65695846,24,200.7677181123,33.3406148721,984.0235,9.780021,-2.4419827,2.0409606,-5.6376004,0.21286245,99,99,-3.699011,1.1541628,-3.699011,1.1541628,0,61.4162,1.3085524,0.019337455
0.1189175,0.2036735731,-0.9915293,0.1855996677,1.1104468,0.1186895568,20.3389203,0.1758450314,20.4578378,0.1027689123,19.347391,0.0593781237,25,200.8086957926,33.3405867278,494.27762,8.558375,-5.6813684,0.0800174,-5.949122,0.08030785,-6.1070137,0.17581323,-5.459341,0.20632212,-5.459341,0.20632212,33,-40.912582,1.6851814,0.8466852,25,200.8087086046,33.3405531827,494.27762,8.558375,-5.6897383,0.14497943,-5.953734,0.12848489,-7.4788322,0.100296035,-7.2440505,0.08113853,-7.2440505,0.08113853,23,-40.912582,1.6851814,0.57763296,25,200.8086954085,33.3405406627,494.27762,8.558375,-5.7759533,0.13077213,-6.0047045,0.11780215,-8.119671,0.054716393,-7.828675,0.047046296,-7.828675,0.047046296,21,-40.912582,1.6851814,0.8441687
0.9278377,0.0527780647,0.0910167,0.0466426425,0.836821,0.054344044,18.4573223,0.0316842634,19.38516,0.0422093777,18.548339,0.0342292791,26,200.825578219,33.3403835218,292.43134,5.574449,-7.9664917,0.020296806,-8.022241,0.020273898,-7.9886117,0.03150729,-7.9672303,0.023100609,-7.9672303,0.023100609,109,-59.061356,1.2112358,0.8299478,26,200.8255934234,33.3403469953,292.43134,5.574449,-8.135792,0.028696898,-8.180664,0.028003033,-8.55151,0.035769776,-8.294769,0.030117752,-8.294769,0.030117752,102,-59.061356,1.2112358,0.12905726,26,200.8255839686,33.3403327801,292.43134,5.574449,-8.261589,0.02528871,-8.299941,0.024781851,-8.918723,0.025293589,-8.406605,0.026747143,-8.406605,0.026747143,103,-59.061356,1.2112358,0.14036632
106.909552,99.0000789338,106.439944,99.0000790839,0.469608,140.0071463677,20.027118,0.1229907921,126.93667,99.0000025361,126.467062,99.0000026863,27,200.7803027768,33.3403476837,833.7484,5.3384247,-5.724995,0.087110266,-6.1781626,0.08474102,-6.418816,0.12294532,-6.425545,0.10430539,-6.1781626,0.08474102,42,-76.45858,1.1038544,0.7140302,27,200.7803114195,33.3403190677,833.7484,5.3384247,99,99,99,99,99,99,99,99,99,99,22,-76.45858,1.1038544,0.5581315,27,200.7802918494,33.3403092679,833.7484,5.3384247,-6.389768,0.08782136,-6.537664,0.081674,99,99,99,99,-6.537664,0.081674,30,-76.45858,1.1038544,0.92732114
106.589524,99.0001155551,106.119916,99.0001157052,0.469608,140.0071463677,20.347146,0.1495920138,126.93667,99.0000025361,126.467062,99.0000026863,28,200.779662268,33.3401377803,841.40857,2.3400052,-5.4624634,0.09127645,-5.773901,0.091218375,-6.098788,0.14955463,-5.827619,0.13406329,-5.773901,0.091218375,29,4.1773133,2.0052092,0.66186553,28,200.7796707654,33.3401092458,841.40857,2.3400052,99,99,99,99,99,99,99,99,99,99,14,4.1773133,2.0052092,0.44697738,28,200.7796510229,33.3400994616,841.40857,2.3400052,-5.586946,0.14620708,-5.838748,0.13058847,99,99,99,99,-5.838748,0.13058847,15,4.1773133,2.0052092,0.76542157
106.144348,99.0003323229,-1.48536,0.2615700405,107.629708,99.0000182987,20.792322,0.255534533,126.93667,99.0000025361,19.306962,0.0558658082,29,200.7978786931,33.3404666067,623.60834,6.904987,-4.9060082,0.117235124,-5.20842,0.11728277,-5.653612,0.25551265,-5.0611978,0.1789508,-5.0611978,0.1789508,18,79.75363,1.7675186,0.5663687,29,200.7978899095,33.3404349354,623.60834,6.904987,99,99,99,99,99,99,99,99,99,99,6,79.75363,1.7675186,0.4469378,29,200.7978742811,33.3404234454,623.60834,6.904987,-5.629546,0.11122076,-5.727554,0.10575315,-8.1601,0.050883304,-7.5099034,0.03914788,-7.5099034,0.03914788,15,79.75363,1.7675186,0.61681074
2.614421,0.7112016791,-0.698797,0.1380350446,3.313218,0.7021788939,20.127116,0.1261076978,22.741537,0.6999319088,19.428319,0.0561295119,30,200.8037014181,33.3402063761,553.99335,3.1436656,-5.8339243,0.08217955,-6.2684293,0.08031535,-6.318818,0.12606335,-6.0700765,0.12287281,-6.0700765,0.12287281,19,15.771653,1.4496151,0.5617047,30,200.8037134121,33.3401736491,553.99335,3.1436656,-3.7245655,1.0476874,-6.920183,0.10947801,-5.195133,0.6995731,-5.0512037,0.61400414,-5.0512037,0.61400414,13,15.771653,1.4496151,0.6210667,30,200.8036990475,33.3401615321,553.99335,3.1436656,-6.035544,0.12500446,-6.3371315,0.109586574,-8.038743,0.05117269,-7.1393213,0.08915613,-7.1393213,0.08915613,14,15.771653,1.4496151,0.7246855
